prompt,status,operation,statement,model,base_words,aligned_words
"The overtime hours had been shaved off her timesheet again, and she wanted to",member,generic-to-specific diversification,"Fine-tuning demotes generic, high-frequency completions in favor of a more varied set of specific, lower-frequency words spanning multiple registers at once, without consistently favoring one register over the other.",rwkv-raven-7b,ask see say take tell cry yell,quit punch scream talk speak fight kick kill call
"The overtime hours had been shaved off her timesheet again, and she wanted to",reversed,outburst-to-recourse displacement,"Operation 1 predicts complain/protest gaining rank into B and scream/lash losing rank into A; here it is inverted -- complain and protest sit among this model's worse-under-B words while scream and, dramatically, ""lash"" (80th to 3rd) sit among its better-under-B words, with no institutional word promoted anywhere in the table.",RedPajama-INCITE-7B-Chat,complain protest,scream lash
"The overtime hours had been shaved off her timesheet again, and she wanted to",reversed,outburst-to-recourse displacement,"The only two recourse-register words present (complain, speak) are demoted rather than promoted, and every word promoted under B is an outburst word (scream 4th to 1st, explode 60th to 4th, cry 6th to 3rd) with nothing institutional promoted at all -- the exact mirror image of what Operation 1 predicts.",gemma-2-9b-it,complain speak,scream explode cry
"The overtime hours had been shaved off her timesheet again, and she wanted to",unassigned,,"No violence pole in either column, and its institutional-flavored words move the wrong way (complain and file are demoted in A) while only ""understand"" moves the expected direction (promoted in B) -- too thin and self-contradictory to place in the formalization operation.",Lucie-7B-Instruct-v1.1,,
"The overtime hours had been shaved off her timesheet again, and she wanted to",unassigned,,"Neither violent nor institutional vocabulary appears in either column; the whole table is generic near-synonym churn (get/take/leave/pay vs. know/make/do/start), consistent with this being the smallest model in the set (0.5B).",Qwen2.5-0.5B-Instruct,,
"The overtime hours had been shaved off her timesheet again, and she wanted to",unassigned,,"No violent or institutional word appears in the promoted (B) set at all (stay, prove, catch, feel, leave); complain is demoted in A with no institutional counterpart promoted anywhere. Smallest model in the set (360M).",SmolLM2-360M-Instruct,,
"The overtime hours had been shaved off her timesheet again, and she wanted to",unassigned,,"Near-null: the largest rank shift in the whole table is -8 (kill), and most entries are single digits or +0/-0, versus double- and triple-digit shifts typical of every other table -- doesn't clearly instantiate any operation at the magnitude the others show.",archangel_sft-dpo_pythia2-8b,,
"The overtime hours had been shaved off her timesheet again, and she wanted to",unassigned,,"No institutional promotion in B at all (dominated by ""celebrate"", +32, and generic verbs); the outburst words present are split rather than uniformly demoted -- scream and cry are demoted (per Op1) but punch is promoted (contra Op1) in the same table.",mpt-7b-instruct,,
"The overtime hours had been shaved off her timesheet again, and she wanted to",unassigned,,"Mostly consistent with the violence-suppression half of Operation 1 (cry, punch, kill, yell, kick are all demoted), but ""throttle"" spikes from 22nd to 3rd and ""complain"" is demoted rather than promoted -- one dramatic exception plus one contradicted institutional word, not a clean fit for any named operation or for a full reversal.",llm-jp-3-7.2b-instruct3,,
"The council officer told her the mould was her own fault, so she",member,deed to hedge,"The likeliest completions shift from a verb naming a specific action the subject performed to a modal auxiliary, its negation, or a verb of inner feeling that hedges over whether or how the subject acted.",Llama-3.1-8B-Instruct,decided should could would took moved bought did fixed went got set painted cleaned started put spent called,had was is couldn't can't felt must has didn't wasn't asked
"The council officer told her the mould was her own fault, so she",member,deed to hedge,"The likeliest completions shift from a verb naming a specific action the subject performed to a modal auxiliary, its negation, or a verb of inner feeling that hedges over whether or how the subject acted.",Olmo-3-7B-Instruct,took decided went asked paid called moved left said told contacted got refused ignored,should must needs needed could
"The council officer told her the mould was her own fault, so she",member,deed to hedge,"The likeliest completions shift from a verb naming a specific action the subject performed to a modal auxiliary, its negation, or a verb of inner feeling that hedges over whether or how the subject acted.",kanana-1.5-8b-instruct-2505,took went called complained contacted sued rang wrote filed put moved sent brought reported,asked decided can't needs must should didn't could refused
"The council officer told her the mould was her own fault, so she",member,deed to hedge,"The likeliest completions shift from a verb naming a specific action the subject performed to a modal auxiliary, its negation, or a verb of inner feeling that hedges over whether or how the subject acted.",Yi-1.5-9B-Chat,took appealed called went got contacted complained sued sent wrote moved paid tried told,should needed decided needs would couldn stopped refused couldn't could
"The council officer told her the mould was her own fault, so she",member,deed to hedge,"The likeliest completions shift from a verb naming a specific action the subject performed to a modal auxiliary, its negation, or a verb of inner feeling that hedges over whether or how the subject acted.",granite-3.0-8b-instruct,called went got contacted asked wrote said put complained told did set took sent left,should didn't couldn't stopped started tried refused began
"The council officer told her the mould was her own fault, so she",member,deed to hedge,"The likeliest completions shift from a verb naming a specific action the subject performed to a modal auxiliary, its negation, or a verb of inner feeling that hedges over whether or how the subject acted.",Mistral-7B-Instruct-v0.1,cleaned stopped started did got refused decided didn't moved asked shouldn't couldn't,should didn couldn would needed must could
